iteration,c0,m0,s0,mx0,mn0,c1,m1,s1,mx1,mn1,c2,m2,s2,mx2,mn2,c3,m3,s3,mx3,mn3
132,7,0.220082,0.0937592,0.346048,0.0461315,3,0.190736,0.0496041,0.249039,0.1278,2,0.12724,0.00229874,0.129539,0.124942,4,0.199597,0.086306,0.346547,0.12551
133,7,0.220141,0.0937174,0.346154,0.0463122,3,0.190776,0.0495142,0.248883,0.127882,2,0.127259,0.00225172,0.129511,0.125007,4,0.199632,0.0861847,0.346372,0.125627
134,7,0.220201,0.0936757,0.346259,0.0464932,3,0.190816,0.0494247,0.248727,0.127964,2,0.127278,0.0022045,0.129483,0.125074,4,0.199668,0.0860631,0.346196,0.125744
135,7,0.220261,0.0936342,0.346366,0.0466746,3,0.190855,0.0493355,0.24857,0.128046,2,0.127298,0.00215748,0.129455,0.125141,4,0.199704,0.0859413,0.34602,0.125862
136,7,0.22032,0.0935927,0.346472,0.0468563,3,0.190895,0.0492467,0.248414,0.128128,2,0.127318,0.00211006,0.129428,0.125208,4,0.199739,0.0858193,0.345844,0.12598
137,7,0.22038,0.0935514,0.346579,0.047038,3,0.190934,0.0491581,0.248258,0.128209,2,0.127338,0.00206226,0.1294,0.125276,4,0.199775,0.0856972,0.345668,0.126099
138,7,0.22044,0.0935103,0.346686,0.0472198,3,0.190973,0.0490698,0.248101,0.128291,2,0.127359,0.00201462,0.129373,0.125344,4,0.199811,0.085575,0.345492,0.126218
139,7,0.2205,0.0934693,0.346794,0.047402,3,0.191012,0.0489817,0.247944,0.128372,2,0.12738,0.00196682,0.129346,0.125413,4,0.199846,0.0854527,0.345315,0.126337
140,7,0.22056,0.0934284,0.346901,0.0475845,3,0.19105,0.0488941,0.247787,0.128453,2,0.127401,0.0019181,0.129319,0.125483,4,0.199882,0.0853301,0.345139,0.126457
141,7,0.22062,0.0933877,0.347009,0.0477672,3,0.191089,0.0488065,0.24763,0.128534,2,0.127423,0.00186949,0.129292,0.125553,4,0.199919,0.0852074,0.344962,0.126578
142,7,0.220681,0.0933472,0.347118,0.0479501,3,0.191127,0.0487193,0.247473,0.128614,2,0.127444,0.00182021,0.129265,0.125624,4,0.199955,0.0850845,0.344786,0.126699
143,7,0.220741,0.0933068,0.347227,0.0481331,3,0.191166,0.0486325,0.247316,0.128695,2,0.127466,0.00177111,0.129237,0.125695,4,0.199991,0.0849615,0.344609,0.12682
