iteration,c0,m0,s0,mx0,mn0,c1,m1,s1,mx1,mn1,c2,m2,s2,mx2,mn2,c3,m3,s3,mx3,mn3
118,5,0.193652,0.0937924,0.351439,0.0746271,6,0.201432,0.102709,0.362505,0.101325,3,0.15627,0.0698962,0.249393,0.0809974,7,0.199158,0.0618251,0.294409,0.129994
119,5,0.193517,0.0937464,0.351239,0.0745054,6,0.186489,0.0826612,0.323707,0.101496,3,0.156208,0.0699165,0.249322,0.0808443,7,0.199179,0.0618411,0.294317,0.129927
120,5,0.193382,0.0937002,0.351039,0.0743842,5,0.155081,0.0890043,0.323726,0.0741024,3,0.156145,0.0699366,0.24925,0.0806916,7,0.199199,0.0618577,0.294224,0.129859
121,5,0.193248,0.0936539,0.35084,0.0742632,5,0.144932,0.070027,0.272783,0.0739273,3,0.156082,0.0699566,0.249178,0.0805393,7,0.19922,0.0618746,0.294133,0.129792
122,5,0.193113,0.0936074,0.35064,0.0741426,5,0.145009,0.0701193,0.27297,0.0737522,3,0.15602,0.0699767,0.249107,0.0803871,7,0.19924,0.0618919,0.294042,0.129725
123,5,0.192979,0.0935608,0.35044,0.0740221,5,0.145087,0.0702117,0.273158,0.0735772,3,0.155957,0.0699969,0.249036,0.0802353,7,0.199261,0.0619095,0.293951,0.129658
124,5,0.192845,0.0935137,0.35024,0.0739026,5,0.145165,0.0703041,0.273345,0.0734022,3,0.155895,0.0700169,0.248964,0.0800839,7,0.199282,0.0619273,0.29386,0.129591
125,5,0.192711,0.0934665,0.350041,0.0737837,5,0.145243,0.0703965,0.273532,0.073227,3,0.155833,0.0700366,0.248892,0.0799326,7,0.199303,0.0619456,0.293769,0.129524
126,5,0.192578,0.0934191,0.349841,0.0736653,5,0.1599,0.0609236,0.27372,0.102704,3,0.15577,0.0700562,0.24882,0.0797817,7,0.199323,0.0619641,0.293678,0.129458
127,5,0.192444,0.0933714,0.349641,0.0735478,5,0.160023,0.0609597,0.273907,0.102878,3,0.155707,0.0700759,0.248748,0.0796309,7,0.199344,0.0619827,0.293588,0.129392
