iteration,n_agents,c0,m0,s0,mx0,mn0
438,49,20,0.419995,0.239873,0.942125,0.0790989
439,49,20,0.42,0.239882,0.942115,0.0790296
440,49,20,0.420006,0.23989,0.942104,0.0789606
441,49,20,0.420011,0.239898,0.942093,0.0788921
442,49,20,0.420017,0.239906,0.942083,0.0788234
443,49,20,0.420023,0.239914,0.942072,0.0787551
444,49,20,0.420029,0.239923,0.942061,0.078687
445,49,20,0.420035,0.239931,0.942049,0.0786187
446,49,20,0.420042,0.239939,0.942037,0.0785502
447,49,20,0.420048,0.239947,0.942025,0.0784817
448,49,20,0.420054,0.239955,0.942013,0.0784131
449,49,20,0.420061,0.239963,0.942002,0.0783449
450,49,20,0.420068,0.239971,0.941989,0.0782768
451,49,20,0.420074,0.239979,0.941977,0.0782086
452,49,20,0.420081,0.239987,0.941965,0.078141
453,49,20,0.420088,0.239995,0.941952,0.0780733
454,49,20,0.420095,0.240003,0.94194,0.0780057
455,49,20,0.420101,0.240011,0.941927,0.0779379
456,49,20,0.420108,0.240019,0.941914,0.0778707
457,49,20,0.420116,0.240027,0.941902,0.0778036
458,49,20,0.420123,0.240035,0.941889,0.0777364
459,49,20,0.42013,0.240043,0.941875,0.0776694
460,49,20,0.420137,0.240051,0.941862,0.0776025
461,49,20,0.420145,0.240059,0.941849,0.077536
462,49,20,0.420152,0.240067,0.941834,0.07747
463,49,20,0.42016,0.240075,0.94182,0.0774044
464,49,20,0.420167,0.240083,0.941805,0.0773389
465,49,20,0.420175,0.240091,0.94179,0.0772734
466,49,20,0.420183,0.240099,0.941774,0.0772077
467,49,20,0.420191,0.240107,0.941758,0.077142
468,49,20,0.420198,0.240115,0.941742,0.0770764
469,49,20,0.420206,0.240122,0.941724,0.0770108
470,49,20,0.420215,0.24013,0.941707,0.0769451
471,49,20,0.420223,0.240138,0.941689,0.0768793
472,49,20,0.420231,0.240146,0.941671,0.0768139
473,49,20,0.420239,0.240153,0.941653,0.0767484
474,49,20,0.420248,0.240161,0.941635,0.0766834
475,49,20,0.420256,0.240169,0.941617,0.0766187
476,49,20,0.420265,0.240176,0.941598,0.076554
477,49,20,0.420273,0.240184,0.941579,0.0764895
478,49,20,0.420282,0.240192,0.94156,0.0764254
479,49,20,0.420291,0.240199,0.941541,0.0763614
480,49,20,0.4203,0.240207,0.941521,0.0762977
481,49,20,0.420309,0.240215,0.9415,0.0762338
482,49,20,0.420318,0.240222,0.94148,0.0761704
483,49,20,0.420327,0.24023,0.94146,0.0761071
484,49,20,0.420336,0.240237,0.94144,0.0760439
485,49,20,0.420346,0.240245,0.941419,0.0759807
486,49,20,0.420355,0.240252,0.941398,0.0759179
487,49,20,0.420365,0.24026,0.941378,0.0758551
488,49,20,0.420374,0.240267,0.941357,0.075792
489,49,20,0.420384,0.240275,0.941335,0.0757295
490,49,20,0.420394,0.240282,0.941314,0.075667
491,49,20,0.420404,0.240289,0.941292,0.0756049
492,49,20,0.420415,0.240297,0.941271,0.0755427
493,49,20,0.420425,0.240304,0.941248,0.0754806
494,49,20,0.420435,0.240311,0.941226,0.0754187
495,49,20,0.420445,0.240318,0.941202,0.0753565
496,49,20,0.420456,0.240326,0.941178,0.0752947
497,49,20,0.420466,0.240333,0.941153,0.0752333
498,49,20,0.420477,0.24034,0.941128,0.0751721
499,49,20,0.420487,0.240347,0.941102,0.075111
500,49,20,0.420498,0.240354,0.941077,0.0750502
501,49,20,0.420509,0.240361,0.941051,0.0749898
502,49,20,0.420519,0.240367,0.941024,0.0749295
503,49,20,0.42053,0.240374,0.940998,0.0748694
504,49,20,0.420542,0.240381,0.940971,0.0748092
505,49,20,0.420553,0.240388,0.940944,0.0747495
506,49,20,0.420564,0.240395,0.940917,0.0746905
507,49,20,0.420575,0.240401,0.940889,0.0746312
508,49,20,0.420587,0.240408,0.940861,0.0745719
509,49,20,0.420599,0.240415,0.940832,0.0745132
510,49,20,0.42061,0.240421,0.940803,0.0744547
511,49,20,0.420622,0.240428,0.940774,0.0743968
512,49,20,0.420634,0.240434,0.940746,0.0743391
513,49,20,0.420646,0.240441,0.940717,0.0742816
514,49,20,0.420658,0.240447,0.940688,0.0742241
515,49,20,0.42067,0.240454,0.940659,0.074167
516,49,20,0.420683,0.24046,0.940629,0.0741098
517,49,20,0.420695,0.240466,0.940599,0.074053
518,49,20,0.420707,0.240473,0.940569,0.0739966
519,49,20,0.42072,0.240479,0.940538,0.0739402
520,49,20,0.420732,0.240485,0.940507,0.0738841
